iter	Passed	Remaining
0	10	10813
1	28	14002
2	46	15543
3	69	17373
4	88	17521
5	103	17179
6	124	17618
7	142	17618
8	165	18176
9	187	18606
10	206	18549
11	222	18325
12	241	18345
13	265	18698
14	285	18768
15	308	18953
16	327	18959
17	349	19073
18	368	19039
19	387	19000
20	409	19090
21	429	19104
22	450	19127
23	473	19264
24	492	19223
25	512	19202
26	534	19246
27	556	19321
28	575	19281
29	595	19253
30	613	19166
31	631	19109
32	650	19048
33	670	19063
34	687	18968
35	704	18864
36	718	18711
37	739	18712
38	757	18665
39	778	18686
40	799	18703
41	816	18618
42	834	18580
43	863	18766
44	883	18748
45	904	18767
46	923	18722
47	943	18715
48	968	18794
49	985	18726
50	1002	18660
51	1018	18568
52	1034	18481
53	1052	18438
54	1075	18482
55	1093	18432
56	1109	18353
57	1124	18267
58	1139	18180
59	1154	18090
60	1168	17993
61	1183	17905
62	1198	17827
63	1218	17819
64	1251	17999
65	1270	17979
66	1290	17972
67	1310	17956
68	1327	17907
69	1345	17869
70	1360	17801
71	1375	17723
72	1390	17659
73	1406	17595
74	1421	17530
75	1438	17488
76	1454	17429
77	1468	17361
78	1488	17348
79	1503	17294
80	1519	17237
81	1540	17244
82	1559	17225
83	1573	17158
84	1591	17126
85	1611	17126
86	1626	17071
87	1642	17025
88	1657	16963
89	1673	16922
90	1692	16906
91	1706	16844
92	1721	16786
93	1742	16790
94	1756	16734
95	1771	16678
96	1789	16662
97	1805	16614
98	1821	16581
99	1838	16545
100	1853	16498
101	1868	16448
102	1886	16428
103	1903	16402
104	1925	16414
105	1941	16373
106	1961	16369
107	1977	16330
108	1993	16292
109	2011	16274
110	2030	16258
111	2044	16209
112	2058	16159
113	2074	16122
114	2090	16085
115	2107	16057
116	2122	16015
117	2137	15979
118	2156	15964
119	2174	15948
120	2190	15914
121	2207	15887
122	2223	15853
123	2243	15847
124	2260	15821
125	2276	15788
126	2292	15759
127	2307	15721
128	2323	15688
129	2338	15647
130	2354	15618
131	2369	15583
132	2384	15546
133	2400	15515
134	2423	15529
135	2445	15535
136	2466	15535
137	2480	15495
138	2496	15461
139	2511	15427
140	2530	15415
141	2545	15382
142	2560	15344
143	2577	15321
144	2591	15282
145	2612	15283
146	2627	15245
147	2641	15208
148	2658	15182
149	2673	15149
150	2687	15112
151	2703	15083
152	2722	15069
153	2737	15038
154	2758	15040
155	2777	15024
156	2792	14993
157	2806	14957
158	2823	14934
159	2840	14910
160	2857	14891
161	2875	14873
162	2895	14869
163	2911	14840
164	2930	14827
165	2949	14816
166	2967	14800
167	2983	14777
168	2998	14744
169	3015	14721
170	3035	14713
171	3054	14705
172	3070	14677
173	3085	14645
174	3100	14617
175	3118	14601
176	3133	14568
177	3148	14538
178	3165	14518
179	3183	14500
180	3199	14477
181	3219	14468
182	3239	14463
183	3259	14454
184	3275	14429
185	3295	14421
186	3317	14424
187	3337	14413
188	3355	14396
189	3373	14381
190	3388	14350
191	3402	14319
192	3416	14287
193	3433	14263
194	3450	14243
195	3468	14227
196	3489	14222
197	3506	14201
198	3522	14177
199	3539	14156
200	3553	14127
201	3572	14111
202	3586	14081
203	3601	14054
204	3620	14040
205	3636	14016
206	3656	14006
207	3672	13982
208	3688	13960
209	3703	13931
210	3727	13937
211	3749	13935
212	3769	13927
213	3788	13916
214	3808	13905
215	3825	13884
216	3841	13860
217	3858	13840
218	3873	13812
219	3889	13789
220	3903	13760
221	3918	13733
222	3935	13711
223	3950	13685
224	3969	13673
225	3984	13645
226	3999	13621
227	4014	13591
228	4028	13563
229	4042	13534
230	4058	13509
231	4079	13505
232	4094	13477
233	4111	13460
234	4128	13438
235	4149	13434
236	4164	13406
237	4181	13387
238	4200	13375
239	4221	13367
240	4237	13344
241	4256	13333
242	4274	13315
243	4289	13291
244	4308	13276
245	4324	13254
246	4341	13236
247	4361	13226
248	4379	13210
249	4400	13201
250	4419	13187
251	4442	13185
252	4465	13185
253	4481	13160
254	4495	13134
255	4511	13110
256	4528	13090
257	4542	13064
258	4557	13037
259	4573	13016
260	4594	13008
261	4609	12983
262	4625	12961
263	4639	12934
264	4654	12908
265	4670	12888
266	4685	12862
267	4705	12853
268	4722	12832
269	4737	12809
270	4752	12783
271	4767	12759
272	4783	12737
273	4804	12730
274	4822	12712
275	4836	12686
276	4853	12667
277	4867	12641
278	4881	12615
279	4900	12600
280	4915	12577
281	4931	12557
282	4950	12543
283	4972	12537
284	4989	12516
285	5003	12490
286	5020	12472
287	5042	12466
288	5057	12442
289	5073	12420
290	5088	12398
291	5103	12373
292	5121	12358
293	5137	12336
294	5151	12312
295	5166	12287
296	5180	12262
297	5195	12239
298	5216	12230
299	5235	12215
300	5251	12195
301	5275	12192
302	5297	12185
303	5315	12169
304	5338	12164
305	5355	12146
306	5375	12134
307	5391	12113
308	5408	12094
309	5427	12080
310	5452	12079
311	5470	12062
312	5486	12041
313	5503	12023
314	5518	12001
315	5534	11979
316	5555	11970
317	5572	11951
318	5589	11931
319	5605	11911
320	5619	11887
321	5633	11862
322	5653	11849
323	5668	11827
324	5685	11807
325	5699	11783
326	5715	11762
327	5734	11748
328	5751	11730
329	5770	11716
330	5788	11699
331	5809	11689
332	5826	11670
333	5842	11649
334	5858	11629
335	5876	11612
336	5891	11591
337	5907	11570
338	5925	11554
339	5941	11534
340	5958	11515
341	5976	11498
342	5997	11487
343	6013	11467
344	6031	11451
345	6046	11429
346	6061	11407
347	6080	11392
348	6098	11374
349	6112	11351
350	6126	11328
351	6143	11310
352	6160	11291
353	6174	11268
354	6190	11248
355	6206	11227
356	6220	11204
357	6235	11181
358	6255	11168
359	6273	11153
360	6292	11137
361	6307	11116
362	6322	11094
363	6336	11071
364	6355	11056
365	6369	11034
366	6385	11014
367	6401	10994
368	6417	10973
369	6433	10954
370	6448	10933
371	6466	10916
372	6481	10895
373	6502	10883
374	6517	10862
375	6534	10844
376	6548	10822
377	6566	10805
378	6581	10784
379	6596	10762
380	6613	10744
381	6628	10723
382	6651	10714
383	6665	10693
384	6682	10675
385	6697	10652
386	6712	10632
387	6729	10615
388	6744	10594
389	6760	10574
390	6774	10552
391	6789	10529
392	6803	10508
393	6819	10488
394	6833	10467
395	6849	10447
396	6865	10428
397	6882	10409
398	6903	10397
399	6923	10384
400	6939	10365
401	6954	10345
402	6969	10324
403	6983	10302
404	7000	10285
405	7021	10272
406	7035	10250
407	7049	10229
408	7066	10210
409	7081	10190
410	7095	10168
411	7113	10152
412	7127	10130
413	7142	10109
414	7158	10090
415	7175	10072
416	7189	10051
417	7203	10030
418	7218	10009
419	7236	9993
420	7252	9973
421	7270	9957
422	7288	9942
423	7312	9933
424	7330	9918
425	7353	9908
426	7382	9906
427	7401	9891
428	7421	9878
429	7443	9866
430	7463	9853
431	7483	9839
432	7504	9826
433	7523	9811
434	7542	9796
435	7561	9781
436	7584	9771
437	7603	9755
438	7623	9741
439	7639	9723
440	7655	9703
441	7674	9688
442	7691	9671
443	7712	9658
444	7727	9637
445	7741	9616
446	7758	9597
447	7772	9576
448	7788	9557
449	7805	9539
450	7824	9524
451	7838	9503
452	7853	9482
453	7868	9462
454	7884	9443
455	7900	9424
456	7916	9406
457	7932	9386
458	7948	9368
459	7970	9356
460	7986	9337
461	8003	9319
462	8021	9304
463	8037	9284
464	8059	9272
465	8073	9251
466	8087	9230
467	8103	9211
468	8120	9193
469	8134	9172
470	8150	9153
471	8164	9133
472	8187	9122
473	8202	9102
474	8217	9082
475	8233	9063
476	8248	9043
477	8268	9029
478	8287	9014
479	8305	8997
480	8325	8982
481	8347	8971
482	8367	8956
483	8386	8941
484	8410	8930
485	8431	8917
486	8456	8908
487	8479	8896
488	8500	8883
489	8519	8867
490	8540	8853
491	8560	8838
492	8579	8823
493	8608	8817
494	8636	8810
495	8653	8792
496	8669	8774
497	8684	8754
498	8701	8736
499	8717	8717
500	8734	8699
501	8752	8682
502	8773	8668
503	8788	8648
504	8806	8632
505	8823	8613
506	8843	8598
507	8862	8583
508	8880	8566
509	8898	8549
510	8913	8529
511	8933	8514
512	8947	8494
513	8964	8476
514	8982	8459
515	8998	8440
516	9013	8420
517	9028	8401
518	9043	8381
519	9058	8361
520	9076	8345
521	9091	8325
522	9108	8307
523	9123	8287
524	9144	8273
525	9163	8257
526	9179	8239
527	9196	8221
528	9212	8202
529	9227	8182
530	9241	8162
531	9256	8142
532	9274	8125
533	9291	8108
534	9308	8090
535	9325	8072
536	9339	8052
537	9358	8036
538	9374	8017
539	9390	7999
540	9404	7979
541	9419	7959
542	9433	7939
543	9448	7919
544	9462	7899
545	9481	7884
546	9497	7865
547	9513	7846
548	9534	7832
549	9548	7812
550	9564	7793
551	9580	7775
552	9595	7756
553	9610	7737
554	9625	7717
555	9645	7702
556	9662	7684
557	9676	7664
558	9690	7645
559	9707	7627
560	9721	7607
561	9739	7590
562	9754	7571
563	9770	7553
564	9784	7533
565	9799	7514
566	9814	7495
567	9829	7476
568	9850	7461
569	9868	7444
570	9886	7427
571	9902	7409
572	9918	7391
573	9934	7372
574	9949	7354
575	9965	7335
576	9981	7317
577	9997	7298
578	10011	7279
579	10032	7264
580	10050	7248
581	10077	7237
582	10101	7224
583	10119	7208
584	10135	7190
585	10151	7172
586	10176	7160
587	10193	7142
588	10209	7124
589	10225	7105
590	10241	7087
591	10256	7068
592	10276	7052
593	10294	7036
594	10316	7022
595	10335	7006
596	10357	6991
597	10375	6974
598	10396	6959
599	10411	6941
600	10433	6926
601	10453	6911
602	10469	6892
603	10485	6874
604	10502	6856
605	10520	6839
606	10539	6823
607	10554	6804
608	10570	6786
609	10586	6768
610	10602	6749
611	10621	6733
612	10638	6716
613	10654	6697
614	10676	6683
615	10693	6665
616	10712	6649
617	10736	6636
618	10754	6619
619	10773	6602
620	10791	6585
621	10808	6568
622	10825	6550
623	10842	6533
624	10861	6516
625	10876	6498
626	10890	6478
627	10910	6462
628	10924	6443
629	10942	6426
630	10957	6407
631	10975	6390
632	10990	6372
633	11005	6353
634	11023	6336
635	11038	6317
636	11055	6299
637	11073	6282
638	11090	6265
639	11109	6248
640	11123	6229
641	11138	6210
642	11152	6191
643	11168	6173
644	11184	6155
645	11200	6137
646	11216	6119
647	11233	6102
648	11251	6084
649	11269	6068
650	11288	6051
651	11305	6034
652	11322	6016
653	11340	5999
654	11358	5982
655	11382	5969
656	11397	5950
657	11416	5933
658	11432	5915
659	11449	5898
660	11464	5879
661	11481	5862
662	11496	5843
663	11513	5826
664	11528	5807
665	11542	5788
666	11558	5770
667	11578	5754
668	11594	5736
669	11609	5718
670	11623	5699
671	11641	5682
672	11656	5663
673	11670	5644
674	11685	5626
675	11699	5607
676	11715	5589
677	11729	5570
678	11744	5552
679	11759	5534
680	11774	5515
681	11788	5496
682	11803	5478
683	11823	5462
684	11842	5445
685	11857	5427
686	11872	5408
687	11887	5390
688	11902	5372
689	11921	5356
690	11939	5339
691	11956	5321
692	11973	5304
693	11992	5287
694	12007	5269
695	12028	5253
696	12045	5236
697	12061	5218
698	12076	5200
699	12092	5182
700	12113	5166
701	12134	5151
702	12148	5132
703	12163	5114
704	12180	5096
705	12202	5081
706	12219	5064
707	12238	5047
708	12260	5032
709	12280	5015
710	12296	4998
711	12313	4980
712	12329	4963
713	12344	4944
714	12361	4927
715	12378	4909
716	12397	4893
717	12414	4875
718	12431	4858
719	12448	4840
720	12464	4823
721	12480	4805
722	12495	4787
723	12510	4769
724	12526	4751
725	12541	4733
726	12558	4715
727	12575	4698
728	12589	4680
729	12606	4662
730	12620	4644
731	12635	4625
732	12650	4607
733	12670	4591
734	12686	4574
735	12703	4556
736	12718	4538
737	12734	4520
738	12756	4505
739	12770	4487
740	12787	4469
741	12806	4453
742	12820	4434
743	12835	4416
744	12851	4398
745	12873	4383
746	12889	4365
747	12903	4347
748	12918	4329
749	12934	4311
750	12953	4294
751	12968	4276
752	12989	4260
753	13003	4242
754	13020	4225
755	13035	4207
756	13056	4191
757	13074	4174
758	13091	4156
759	13107	4139
760	13128	4123
761	13146	4105
762	13165	4089
763	13183	4072
764	13198	4054
765	13213	4036
766	13229	4018
767	13247	4001
768	13269	3985
769	13285	3968
770	13304	3951
771	13323	3934
772	13342	3918
773	13358	3900
774	13372	3882
775	13391	3865
776	13406	3847
777	13420	3829
778	13436	3811
779	13455	3795
780	13472	3777
781	13490	3760
782	13506	3743
783	13530	3727
784	13554	3712
785	13569	3694
786	13594	3679
787	13611	3662
788	13627	3644
789	13644	3626
790	13661	3609
791	13676	3591
792	13692	3574
793	13711	3557
794	13726	3539
795	13745	3522
796	13762	3505
797	13781	3488
798	13799	3471
799	13817	3454
800	13833	3436
801	13850	3419
802	13866	3401
803	13882	3384
804	13905	3368
805	13922	3351
806	13939	3333
807	13955	3316
808	13970	3298
809	13989	3281
810	14007	3264
811	14022	3246
812	14037	3228
813	14055	3211
814	14069	3193
815	14084	3175
816	14100	3158
817	14119	3141
818	14135	3123
819	14151	3106
820	14168	3089
821	14184	3071
822	14201	3054
823	14216	3036
824	14232	3019
825	14256	3003
826	14277	2986
827	14294	2969
828	14310	2951
829	14325	2934
830	14344	2917
831	14359	2899
832	14376	2882
833	14399	2866
834	14414	2848
835	14431	2831
836	14449	2813
